-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 

The art Cross Slice,\r\nmodified for speed.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Cruzado,\r\nmodificado para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Encrucijada» que causa\r\ndaños graves a un oponente.

The art Cross Slice,\r\nheavily modified for speed.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Cruzado,\r\naltamente modificado para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Encrucijada» que causa\r\ndaños graves a un oponente.

The art Cross Slice,\r\nmodified for strength.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Cruzado,\r\nmodificado para mais força.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Encrucijada» que causa\r\ndaños graves a un oponente.

The art Cross Slice,\r\nheavily modified for strength.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Cruzado,\r\naltamente modificado para mais força.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Encrucijada» que causa\r\ndaños graves a un oponente.

A one-handed sword art that carves\r\ninto the foe with one elegant stroke.\r\nDeals extreme damage to a unit.|----|Uma técnica de espada de mão única que crava\r\no inimigo com um golpe elegante.\r\nCausa dano extremo a um personagem.|----|Una mano. Una elegante maniobra de espada\r\nque atraviesa al oponente de punta a punta\r\ny le causa daños terribles.

The art Requiem,\r\nmodified for speed.\r\nDeals extreme damage to one unit.|----|A técnica Réquiem,\r\nmodificada para mais velocidade.\r\nCausa dano extremo a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Réquiem» que causa\r\ndaños terribles a un oponente.

The art Requiem,\r\nheavily modified for speed.\r\nDeals extreme damage to one unit.|----|A técnica Réquiem,\r\naltamente modificada para mais velocidade.\r\nCausa dano extremo a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Réquiem» que causa\r\ndaños terribles a un oponente.

The art Requiem,\r\nmodified for strength.\r\nDeals extreme damage to one unit.|----|A técnica Réquiem,\r\nmodificada para mais força.\r\nCausa dano extremo a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Réquiem» que causa\r\ndaños terribles a un oponente.

The art Requiem,\r\nheavily modified for strength.\r\nDeals extreme damage to one unit.|----|A técnica Réquiem,\r\naltamente modificada para mais força.\r\nCausa dano extremo a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Réquiem» que causa\r\ndaños terribles a un oponente.

A one-handed katana art.\r\nA brutal chop to the head.\r\nDeals heavy damage to a unit.|----|Uma técnica de katana de mão única.\r\nUm golpe brutal na cabeça.\r\nCausa grande dano a um personagem.|----|Una mano. Un brutal golpe de katana\r\ndirigido hacia la cabeza del oponente.\r\nEs capaz de causar daños graves.

The art Helm Split,\r\nmodified for speed.\r\nDeals heavy damage to one unit.|----|A técnica Quebra-Elmo,\r\nmodificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Hiendeyelmos» que causa\r\ndaños graves a un oponente.

The art Helm Split,\r\nheavily modified for speed.\r\nDeals heavy damage to one unit.|----|A técnica Quebra-Elmo,\r\naltamente modificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Hiendeyelmos» que causa\r\ndaños graves a un oponente.

The art Helm Split,\r\nmodified for strength.\r\nDeals heavy damage to one unit.|----|A técnica Quebra-Elmo,\r\nmodificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Hiendeyelmos» que causa\r\ndaños graves a un oponente.

The art Helm Split,\r\nheavily modified for strength.\r\nDeals heavy damage to one unit.|----|A técnica Quebra-Elmo,\r\naltamente modificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Hiendeyelmos» que causa\r\ndaños graves a un oponente.

A one-handed katana art.\r\nA strike as cold and silent as winter's snow.\r\nDeals extreme damage to all enemies in an area.|----|Uma técnica de katana de mão única. Um ataque\r\nfrio e silencioso como a neve do inverno.\r\nCausa danos extremos aos inimigos próximos.|----|Una mano. Un golpe de katana silencioso\r\ny letal como una noche de invierno. Causa\r\ndaños terribles a los enemigos cercanos.

The art Snowfall,\r\nmodified for speed.\r\nDeals extreme damage to all enemies in an area.|----|A técnica da Nevasca,\r\nmodificada para mais velocidade.\r\nCausa dano extremo a todos inimigos em uma área.|----|Una versión mejorada y más rápida\r\nde la técnica «Viento polar» que causa\r\ndaños terribles a los enemigos cercanos.

The art Snowfall,\r\nheavily modified for speed.\r\nDeals extreme damage to all enemies in an area.|----|A técnica da Nevasca,\r\naltamente modificada para mais velocidade.\r\nCausa dano extremo a todos inimigos em uma área.|----|Una versión extremadamente rápida\r\nde la técnica «Viento polar» que causa\r\ndaños terribles a los enemigos cercanos.

The art Snowfall,\r\nmodified for strength.\r\nDeals extreme damage to all enemies in an area.|----|A técnica da Nevasca,\r\nmodificada para mais força.\r\nCausa dano extremo a todos inimigos em uma área.|----|Una versión mejorada y más potente\r\nde la técnica «Viento polar» que causa\r\ndaños terribles a los enemigos cercanos.

The art Snowfall,\r\nheavily modified for strength.\r\nDeals extreme damage to all enemies in an area.|----|A técnica da Nevasca,\r\naltamente modificada para mais força.\r\nCausa dano extremo a todos inimigos em uma área.|----|Una versión extremadamente potente\r\nde la técnica «Viento polar» que causa\r\ndaños terribles a los enemigos cercanos.

A one-handed axe art. A powerful\r\nswing tracing a triangle in midair.\r\nDeals heavy damage to a unit.|----|Uma técnica de machado de mão única. Uma poderosa\r\nsacudida formando um triângulo no meio do ar.\r\nCausa grande dano a um personagem.|----|Una mano. Un golpe de hacha que describe\r\nun recorrido triangular a través del aire\r\ny causa daños graves a un oponente.

The art Reverse Delta,\r\nmodified for speed.\r\nDeals heavy damage to one unit.|----|A técnica Delta Reverso,\r\nmodificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Delta dorsal» que causa\r\ndaños graves a un oponente.

The art Reverse Delta,\r\nheavily modified for speed.\r\nDeals heavy damage to one unit.|----|A técnica Delta Reverso,\r\naltamente modificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Delta dorsal» que causa\r\ndaños graves a un oponente.

The art Reverse Delta,\r\nmodified for strength.\r\nDeals heavy damage to one unit.|----|A técnica Delta Reverso,\r\nmodificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Delta dorsal» que causa\r\ndaños graves a un oponente.

The art Reverse Delta,\r\nheavily modified for strength.\r\nDeals heavy damage to one unit.|----|A técnica Delta Reverso,\r\naltamente modificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Delta dorsal» que causa\r\ndaños graves a un oponente.

A one-handed axe art.\r\nA fierce overhand chop.\r\nDeals extreme damage to a unit.|----|Uma técnica de machado de mão única.\r\nUm golpe feroz por cima do ombro.\r\nCausa dano extremo a um personagem.|----|Una mano. Un rotundo hachazo en la cabeza\r\nque inflige daños terribles a un oponente.

The art Log Splitter,\r\nmodified for speed.\r\nDeals extreme damage to one unit.|----|A técnica Guilhotina,\r\nmodificada para mais velocidade.\r\nCausa dano extremo a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Guillotina» que causa\r\ndaños terribles a un oponente.

The art Log Splitter,\r\nheavily modified for speed.\r\nDeals extreme damage to one unit.|----|A técnica Guilhotina,\r\naltamente modificada para mais velocidade.\r\nCausa dano extremo a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Guillotina» que causa\r\ndaños terribles a un oponente.

The art Log Splitter,\r\nmodified for strength.\r\nDeals extreme damage to one unit.|----|A técnica Guilhotina,\r\nmodificada para mais força.\r\nCausa dano extremo a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Guillotina» que causa\r\ndaños terribles a un oponente.

The art Log Splitter,\r\nheavily modified for strength.\r\nDeals extreme damage to one unit.|----|A técnica Guilhotina,\r\naltamente modificada para mais força.\r\nCausa dano extremo a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Guillotina» que causa\r\ndaños terribles a un oponente.

A one-handed mace art.\r\nA focused, powerful blow.\r\nDeals heavy damage to a unit.|----|Uma técnica de maça de mão única.\r\nUm golpe poderoso e concentrado.\r\nCausa grande dano a um personagem.|----|Una mano. Un golpe de maza certero,\r\npoderoso y dirigido a los puntos vitales\r\nque causa daños graves a un oponente.

The art Crushing Hit,\r\nmodified for speed.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Esmagador,\r\nmodificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Megatón» que causa\r\ndaños graves a un oponente.

The art Crushing Hit,\r\nheavily modified for speed.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Esmagador,\r\naltamente modificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Megatón» que causa\r\ndaños graves a un oponente.

The art Crushing Hit,\r\nmodified for strength.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Esmagador,\r\nmodificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Megatón» que causa\r\ndaños graves a un oponente.

The art Crushing Hit,\r\nheavily modified for strength.\r\nDeals heavy damage to one unit.|----|A técnica do Golpe Esmagador,\r\naltamente modificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Megatón» que causa\r\ndaños graves a un oponente.

A one-handed mace art. A rapid\r\nblow strong enough to shatter stone.\r\nDeals extreme damage to a unit.|----|Uma técnica de maça de mão única. Um golpe\r\nrápido e forte o suficiente para despedaçar uma rocha.\r\nCausa dano extremo a um personagem.|----|Una mano. Un rápido mazazo capaz\r\nde hacer añicos las mismísimas rocas\r\ny causar daños terribles a un oponente.

The art Rock Crusher,\r\nmodified for speed.\r\nDeals extreme damage to one unit.|----|A técnica Esmaga-Rocha,\r\nmodificada para mais velocidade.\r\nCausa dano extremo a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Demolición» que causa\r\ndaños terribles a un oponente.

The art Rock Crusher,\r\nheavily modified for speed.\r\nDeals extreme damage to one unit.|----|A técnica Esmaga-Rocha,\r\naltamente modificada para mais velocidade.\r\nCausa dano extremo a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Demolición» que causa\r\ndaños terribles a un oponente.

The art Rock Crusher,\r\nmodified for strength.\r\nDeals extreme damage to one unit.|----|A técnica Esmaga-Rocha,\r\nmodificada para mais força.\r\nCausa dano extremo a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Demolición» que causa\r\ndaños terribles a un oponente.

The art Rock Crusher,\r\nheavily modified for strength.\r\nDeals extreme damage to one unit.|----|A técnica Esmaga-Rocha,\r\naltamente modificada para mais força.\r\nCausa dano extremo a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Demolición» que causa\r\ndaños terribles a un oponente.
